"filename", "language", "C++", "YAML", "Dart", "JSON", "Swift", "Markdown", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\ivanm\Desktop\Flutter\quizz_app\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\ivanm\Desktop\Flutter\quizz_app\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 5, 13, 75
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\google-services.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\ivanm\Desktop\Flutter\quizz_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\ivanm\Desktop\Flutter\quizz_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ivanm\Desktop\Flutter\quizz_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 122
"c:\Users\ivanm\Desktop\Flutter\quizz_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ivanm\Desktop\Flutter\quizz_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ivanm\Desktop\Flutter\quizz_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\ivanm\Desktop\Flutter\quizz_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\ivanm\Desktop\Flutter\quizz_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\about\about.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\home\home.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\login\login.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 6, 88
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\main.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 8, 54
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\profile\profile.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\quiz\quiz.dart", "Dart", 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 1, 15, 237
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\quiz\quiz_state.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\routes.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\services\auth.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 8, 43
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\services\firestore.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 8, 53
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\services\models.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 10, 73
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\services\models.g.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 4, 13, 85
